UTARIH;FONKODU;FONADI;YONTIPI;YONTURU;TOPLAMDEGER;PIYASAFIYAT;DOLASIMDAKIPAYSAYISI;YATIRIMCISAYISI;HS;TR;BP;OZ;KB;KD;YM;HZ;DG
05.05.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;30937126.61;0.050261;615528527.413;28831;34.2;1.62;7.93;0;36.64;0;0;0;19.61
05.05.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23416332.66;0.038893;602078338.559;27995;0;57.08;0;0;23.91;0;0;0;19.01
05.05.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;26804166.79;0.012207;2195720336.583;10691;31.26;6.11;0;6.8;44.36;0;2.17;0;9.3
08.05.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;15209809.43;0.012668;1200693090.183;11446;0;0.42;0;0;85.46;0;0;0;11.47
08.05.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;23503109.1;0.08131;289056256.964;19370;83.43;7.65;8.92;0;0;0;0;0;0
08.05.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;31061012.26;0.050493;615158883.809;28823;34.46;1.61;7.89;0;36.5;0;0;0;19.54
08.05.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23506983.12;0.038926;603890385.272;28227;0;57.21;0;0;23.84;0;0;0;18.95
08.05.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;26912303.38;0.012243;2198139168.502;10688;31.21;6.27;0;6.81;44.24;0;2.17;0;9.3
09.05.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;15210978.67;0.012684;1199184211.105;11434;0;0.4;0;0;85.3;0;0;0;11.62
09.05.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;23592059.88;0.08161;289082662.174;19365;83.49;7.65;8.86;0;0;0;0;0;0
09.05.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;31091771.26;0.050608;614364995.7;28816;34.58;1.6;7.88;0;36.43;0;0;0;19.51
09.05.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23505774.13;0.038937;603690555.871;28241;0;57.2;0;0;23.84;0;0;0;18.96
09.05.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;27021050.15;0.012246;2206526007.618;10673;31.1;6.13;0;6.79;44.18;0;2.16;0;9.64
10.05.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;15152571.82;0.012654;1197433273.782;11426;0;0.28;0;0;85.36;0;0;0;11.67
10.05.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;23882141.59;0.082628;289033403.826;19359;83.69;7.56;8.75;0;0;0;0;0;0
10.05.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;31209919.27;0.050832;613976929.148;28809;34.91;1.6;7.73;0;36.32;0;0;0;19.44
10.05.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23435488.58;0.038948;601714101.544;28055;0;57.04;0;0;23.93;0;0;0;19.03
10.05.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;27226797.07;0.012307;2212243221.136;10684;31.26;6.78;0;6.71;43.57;0;2.15;0;9.53
